HIP_ID,R,R_err_lwr,R_err_upr,P_avg,P_err,vsini,vsini_err_upr,vsini_err_lwr
HIP-41926,0.7486,0.0443,0.0172,,1.3484413604700431,,,
HIP-42438,0.9388,0.026,0.0227,4.7752542114489245,0.16132404496687175,,,
HIP-42808,0.7778,0.0164,0.0304,7.715575132661874,0.07510571290641006,,,
HIP-43587,0.9921,0.0366,0.0273,,1.458004412367746,2.0,,
HIP-43587,0.9921,0.0366,0.0273,,1.458004412367746,1.06,0.23,-0.23
HIP-43587,0.9921,0.0366,0.0273,,1.458004412367746,1.23,0.01,-0.01
HIP-43587,0.9921,0.0366,0.0273,,1.458004412367746,3.3,0.9,-0.9
HIP-43587,0.9921,0.0366,0.0273,,1.458004412367746,2.0,0.43,-0.47
HIP-43726,,,,,1.3243822827318146,,,
HIP-44897,1.0504,0.0248,0.0205,9.70190555239428,0.08925433508196318,,,
HIP-45038,,,,,,,,
HIP-47080,1.0596,0.0286,0.0524,,2.2976445956853517,,,
HIP-47592,1.256,0.0305,0.039,,,,,
HIP-48113,1.6244,0.0489,0.0541,,,,,
HIP-49081,1.2071,0.0319,0.0345,,,2.4,0.5,-0.5
HIP-49908,0.7919,0.0335,0.0256,7.1454557770528275,0.10631419430596602,,,
HIP-50564,1.7439,0.0436,0.0429,,,,,
HIP-50954,1.6931,0.0334,0.0334,2.0673176396155206,0.013872930164499824,,,
HIP-51459,1.1517,0.0308,0.0168,,,,,
HIP-51502,1.4175,0.0421,0.029,1.4161313000133764,0.05198292945966401,,,
HIP-51523,1.8743,0.0683,0.0469,,,,,
HIP-53721,1.2426,0.0257,0.0344,,,2.8,,
HIP-54035,,,,,,2.0,,
HIP-56452,0.7571,0.0266,0.0245,,,,,
HIP-56997,1.0725,0.0399,0.0633,6.272477606586666,0.5655307660022525,,,
HIP-57757,1.7807,0.0475,0.0484,8.96667613969452,0.13757814351622563,,,
HIP-57939,,,,,,,,
HIP-59199,1.4507,0.0357,0.0298,3.487105133335754,0.022512129488794053,,,
HIP-61174,1.6964,0.0227,0.034,1.0629295192462451,0.005986513893177559,,,
HIP-61317,1.1766,0.0488,0.0416,,1.6473084429959273,,,
HIP-62207,0.9834,0.0185,0.0217,,,,,
HIP-64394,1.1487,0.0222,0.0251,,7.589039030875964,,,
HIP-64408,2.3822,0.0979,0.1223,,,,,
HIP-64583,1.4222,0.0341,0.0357,,,,,
HIP-64797,0.747,0.018,0.0177,,1.6375966663813364,,,
HIP-64924,1.055,0.0978,0.0421,,,1.9,,
HIP-64924,1.055,0.0978,0.0421,,,1.9,,
HIP-64924,1.055,0.0978,0.0421,,,1.9,,
HIP-68184,0.8234,0.017,0.025,,,,,
HIP-69965,0.9485,0.0194,0.0206,,,,,
HIP-70497,1.8123,0.0543,0.0365,2.8809043271368977,0.020351185634203916,,,
HIP-71284,1.3632,0.0296,0.0321,,,,,
HIP-71681,,,,,,,,
HIP-71683,,,,,,,,
HIP-72659,,,,,,,,
HIP-72659,,,,,,,,
HIP-73184,0.7613,0.0301,0.0391,,,,,
HIP-73996,1.442,0.0327,0.0344,,,,,
HIP-75181,1.0056,0.0285,0.032,,,1.0,,
HIP-75181,1.0056,0.0285,0.032,,,1.0,,
HIP-75181,1.0056,0.0285,0.032,,,1.0,,
HIP-75181,1.0056,0.0285,0.032,,,1.0,,
HIP-75181,1.0056,0.0285,0.032,,,1.0,,
HIP-75181,1.0056,0.0285,0.032,,,1.0,,
HIP-77052,0.9407,0.0191,0.0365,,,,,
HIP-77358,0.9226,0.0247,0.0367,12.670377409680583,0.1607640284324998,2.0,,
HIP-77760,1.6909,0.0321,0.046,,,,,
HIP-78072,1.5345,0.0517,0.0508,,,,,
HIP-78459,1.316,0.0359,0.0256,,,0.8,0.3,-0.3
HIP-78459,1.316,0.0359,0.0256,,,2.0,,
HIP-78459,1.316,0.0359,0.0256,,,2.0,,
HIP-79672,1.0389,0.024,0.0355,,,,,
HIP-80337,0.9812,0.0223,0.0182,7.9328023719927785,0.059598472463663864,1.5,,
HIP-81300,0.8638,0.037,0.0325,7.9328023719927785,0.059598472463663864,,,
HIP-84405,,,,,,,,
HIP-84405,,,,,,,,
HIP-84478,0.6782,0.0493,0.0131,,,,,
HIP-84720,0.7758,0.0264,0.0332,,,,,
HIP-84862,1.1487,0.0292,0.0288,,,,,
HIP-84893,1.5527,0.0482,0.0671,,,,,
HIP-85235,0.7469,0.0148,0.0183,,1.8551162310561942,,,
HIP-86486,1.6559,0.0386,0.0458,3.0426536819074763,0.12399392034882274,,,
HIP-86736,1.3317,0.0301,0.0295,,,,,
HIP-86796,1.5226,0.0304,0.0127,,,3.1,0.5,-0.5
HIP-86796,1.5226,0.0304,0.0127,,,4.07,0.3,-0.3
HIP-86796,1.5226,0.0304,0.0127,,,2.4,,
HIP-88601,,,,,,,,
HIP-88601,,,,,,,,
HIP-88694,0.9492,0.0236,0.0283,2.904175004690439,0.021495585359973018,,,
HIP-88972,0.8121,0.0195,0.0185,,,,,
HIP-89042,1.2827,0.0442,0.0371,,,,,
HIP-89348,1.7012,0.0435,0.0316,,,,,
HIP-95447,1.4458,0.0652,0.0502,-235.37360152969214,53.66292092754515,,,
HIP-96100,0.7813,0.0293,0.026,,1.787466142670235,,,
HIP-97295,1.5468,0.037,0.042,,,,,
HIP-97675,1.4848,0.0318,0.0289,,,,,
HIP-98767,19.2947,0.0,0.0311,,,2.2,,
HIP-98767,19.2947,0.0,0.0311,,,1.0,,
HIP-98767,19.2947,0.0,0.0311,,,2.2,,
HIP-99240,1.3159,0.0533,0.0495,,,,,
HIP-99461,0.763,0.0175,0.0254,,,,,
HIP-99825,0.8637,0.0219,0.0433,,,3.0,,
HIP-99825,0.8637,0.0219,0.0433,,,0.5,0.5,-0.5
HIP-99825,0.8637,0.0219,0.0433,,,3.0,,
HIP-100017,0.9785,0.0221,0.035,5.883117031678513,0.06216289287826499,,,
HIP-102485,1.5433,0.036,0.0394,5.036410108477151,0.07065371202853693,,,
HIP-103389,1.1855,0.027,0.0279,4.276489117066146,0.052449196413959225,,,
HIP-104214,,,,,,,,
HIP-104217,,,,,,,,
HIP-105090,,,,4.784666689831944,0.0866919831596719,,,
HIP-105858,1.0617,0.0335,0.0272,,,,,
HIP-107350,1.0001,0.0241,0.0259,4.824029834788609,0.03710317522286743,10.0,,
HIP-107649,1.0634,0.0218,0.0228,,,,,
HIP-109422,1.4566,0.0374,0.0368,,,,,
HIP-110649,1.8049,0.0575,0.0628,,,,,
HIP-111449,1.4735,0.0411,0.0459,1.25848428212104,0.01040408676841312,,,
HIP-112447,1.9028,0.0562,0.0521,,,,,
HIP-113283,0.7185,0.0218,0.0184,5.097540536540169,0.04659922302097977,,,
HIP-114046,,,,,,2.5,1.0,-1.0
HIP-114622,0.8121,0.0182,0.0243,,,0.4,0.5,-0.5
HIP-114924,1.282,0.0663,0.0277,,,,,
HIP-544,0.9281,0.0385,0.0227,6.402596463856826,0.06003630568471201,,,
HIP-910,1.59,0.0341,0.0468,,,,,
HIP-950,1.4256,0.0295,0.0352,,,,,
HIP-1599,1.0884,0.0211,0.0355,,,,,
HIP-2021,1.7695,0.0738,0.0638,10.060564178785445,1.6755691685953573,,,
HIP-3093,0.9994,0.0222,0.0364,,,1.1,,
HIP-3583,1.2397,0.0417,0.0452,5.064544767964319,0.1990358926952891,,,
HIP-3765,0.7592,0.028,0.0333,,23.849721917321826,,,
HIP-3821,1.0191,0.0426,0.0267,,,,,
HIP-3909,1.1654,0.023,0.0328,,,,,
HIP-4151,1.7042,0.0351,0.0439,3.523755115775069,0.06226182779268387,,,
HIP-5862,1.3049,0.0294,0.0317,,,,,
HIP-5896,1.787,0.0687,0.0912,1.0733753192415085,0.003026531396418162,,,
HIP-7513,1.6686,0.0374,0.0366,2.4487759218697223,0.013354380078587892,9.2,,
